TransactionID,TransactionCode,TransactionTypeID,SourceAccountID,DestinationAccountID,EmployeeID,Channel,Amount,Fee,TransactionDate,Description,Status
4716,TX00004716,1,,197,,InternetBanking,3600000,0,2024-01-05 02:13:11,Giao dịch thường,Success
7773,TX00007773,1,,340,26,Counter,4200000,0,2024-01-05 02:50:52,Giao dịch thường,Success
3164,TX00003164,1,,77,,ATM,6700000,0,2024-01-05 09:53:04,Rút tiền ATM,Success
8932,TX00008932,3,571,858,4,Counter,15400000,0,2024-01-05 10:53:32,Thanh toán điện/nước/internet,Success
2692,TX00002692,4,609,,29,Counter,4000000,0,2024-01-05 15:12:25,Thanh toán điện/nước/internet,Success
11348,TX00011348,3,235,768,35,Counter,1100000,550,2024-01-05 16:08:50,Thanh toán điện/nước/internet,Success
10720,TX00010720,1,,623,24,Counter,9200000,0,2024-01-05 19:05:54,Thanh toán điện/nước/internet,Success
10756,TX00010756,3,617,778,42,Counter,11300000,0,2024-01-05 21:21:36,Giao dịch thường,Success
3411,TX00003411,4,32,,37,Counter,1700000,0,2024-01-05 23:38:54,Chuyển khoản nội bộ,Success
2542,TX00002542,1,,84,38,Counter,4300000,0,2024-01-06 01:16:44,Chuyển khoản nội bộ,Success
678,TX00000678,3,731,458,11,Counter,17300000,0,2024-01-06 03:15:07,Rút tiền ATM,Failed
5717,TX00005717,1,,659,25,Counter,9700000,0,2024-01-06 04:04:48,Thanh toán điện/nước/internet,Success
10576,TX00010576,3,55,352,35,Counter,10200000,0,2024-01-06 07:44:00,Rút tiền ATM,Success
1787,TX00001787,4,588,,27,Counter,1300000,0,2024-01-06 09:35:56,Thanh toán điện/nước/internet,Success
10043,TX00010043,1,,154,,InternetBanking,10300000,0,2024-01-06 09:54:30,Giao dịch thường,Success
11203,TX00011203,3,532,73,22,Counter,24600000,12300,2024-01-06 10:42:58,Chuyển khoản nội bộ,Success
3447,TX00003447,3,528,108,36,Counter,6400000,0,2024-01-06 11:41:24,Rút tiền ATM,Success
9537,TX00009537,3,86,533,,InternetBanking,400000,200,2024-01-06 13:57:30,Nộp tiền mặt,Success
11112,TX00011112,3,232,464,,ATM,7400000,3700,2024-01-06 14:34:43,Rút tiền ATM,Success
1439,TX00001439,1,,493,34,Counter,2600000,0,2024-01-06 15:10:11,Chuyển khoản nội bộ,Success
6460,TX00006460,3,626,411,19,Counter,800000,400,2024-01-06 15:44:58,Chuyển khoản nội bộ,Success
1191,TX00001191,1,,96,1,Counter,9800000,0,2024-01-06 20:57:35,Nộp tiền mặt,Success
5721,TX00005721,3,209,160,7,Counter,100000,50,2024-01-06 23:05:40,Thanh toán điện/nước/internet,Success
2099,TX00002099,2,446,,,InternetBanking,2000000,0,2024-01-07 07:24:44,Chuyển khoản nội bộ,Success
1279,TX00001279,3,817,154,39,Counter,1100000,550,2024-01-07 07:38:28,Chuyển khoản nội bộ,Success
9172,TX00009172,2,244,,8,Counter,5700000,0,2024-01-07 07:55:13,Rút tiền ATM,Failed
3735,TX00003735,4,706,,,ATM,2300000,10000,2024-01-07 13:32:59,Rút tiền ATM,Success
10251,TX00010251,3,770,52,,ATM,8900000,0,2024-01-07 14:25:03,Rút tiền ATM,Success
1766,TX00001766,3,284,392,26,Counter,4200000,2100,2024-01-07 15:07:09,Nộp tiền mặt,Success
5299,TX00005299,3,238,145,13,Counter,2100000,1050,2024-01-07 17:27:49,Nộp tiền mặt,Success
6371,TX00006371,1,,7,,ATM,14800000,0,2024-01-07 17:34:44,Rút tiền ATM,Success
4788,TX00004788,2,659,,48,Counter,100000,0,2024-01-07 22:07:36,Thanh toán điện/nước/internet,Success
9688,TX00009688,2,251,,26,Counter,700000,700,2024-01-07 23:42:22,Thanh toán điện/nước/internet,Success
5974,TX00005974,4,269,,37,Counter,300000,3000,2024-01-08 00:29:39,Chuyển khoản nội bộ,Success
11947,TX00011947,3,507,801,46,Counter,37600000,18800,2024-01-08 00:29:39,Nộp tiền mặt,Success
9483,TX00009483,3,76,1,21,Counter,36000000,0,2024-01-08 00:34:41,Rút tiền ATM,Success
3151,TX00003151,4,146,,45,Counter,300000,3000,2024-01-08 00:39:11,Rút tiền ATM,Success
4626,TX00004626,3,454,734,,InternetBanking,6100000,3050,2024-01-08 00:45:48,Thanh toán điện/nước/internet,Success
10495,TX00010495,2,567,,11,Counter,8300000,0,2024-01-08 01:50:49,Thanh toán điện/nước/internet,Success
10011,TX00010011,1,,264,33,Counter,6100000,0,2024-01-08 02:28:44,Giao dịch thường,Success
1027,TX00001027,3,731,353,5,Counter,800000,400,2024-01-08 02:38:26,Thanh toán điện/nước/internet,Success
1725,TX00001725,3,144,370,27,Counter,1500000,750,2024-01-08 06:03:54,Rút tiền ATM,Success
8461,TX00008461,4,21,,,InternetBanking,5300000,0,2024-01-08 06:04:05,Giao dịch thường,Success
2626,TX00002626,1,,553,24,Counter,7000000,0,2024-01-08 07:30:27,Chuyển khoản nội bộ,Success
5828,TX00005828,2,368,,1,Counter,16000000,0,2024-01-08 09:52:46,Giao dịch thường,Success
422,TX00000422,3,626,363,31,Counter,7400000,0,2024-01-08 14:09:48,Nộp tiền mặt,Success
2575,TX00002575,3,805,665,7,Counter,3300000,1650,2024-01-08 14:29:47,Giao dịch thường,Success
10220,TX00010220,3,60,560,,InternetBanking,36300000,18150,2024-01-08 16:47:38,Giao dịch thường,Success
5210,TX00005210,3,134,188,13,Counter,100000,50,2024-01-08 18:53:17,Rút tiền ATM,Success
5425,TX00005425,3,243,629,10,Counter,700000,350,2024-01-08 19:13:55,Chuyển khoản nội bộ,Success
10247,TX00010247,4,288,,25,Counter,3400000,5000,2024-01-08 19:52:14,Thanh toán điện/nước/internet,Success
6503,TX00006503,3,740,293,6,Counter,31100000,0,2024-01-08 23:26:17,Rút tiền ATM,Success
7715,TX00007715,3,793,428,20,Counter,100000,50,2024-01-08 23:43:45,Thanh toán điện/nước/internet,Success
8806,TX00008806,3,157,650,8,Counter,1200000,600,2024-01-09 00:02:32,Chuyển khoản nội bộ,Success
6326,TX00006326,3,693,748,48,Counter,100000,50,2024-01-09 00:20:13,Rút tiền ATM,Success
2167,TX00002167,2,335,,,ATM,100000,0,2024-01-09 03:34:03,Rút tiền ATM,Success
3318,TX00003318,2,482,,,ATM,100000,0,2024-01-09 14:33:26,Rút tiền ATM,Success
8169,TX00008169,3,361,154,,InternetBanking,1400000,700,2024-01-09 15:08:41,Giao dịch thường,Success
118,TX00000118,3,595,773,5,Counter,1800000,900,2024-01-09 15:17:48,Rút tiền ATM,Success
705,TX00000705,3,629,791,32,Counter,1100000,550,2024-01-09 18:11:04,Thanh toán điện/nước/internet,Success
3226,TX00003226,3,805,381,6,Counter,300000,150,2024-01-09 20:11:57,Nộp tiền mặt,Success
2519,TX00002519,1,,520,36,Counter,2900000,0,2024-01-09 22:59:31,Giao dịch thường,Success
1742,TX00001742,1,,114,32,Counter,9700000,0,2024-01-10 00:33:48,Rút tiền ATM,Success
9720,TX00009720,3,15,590,8,Counter,700000,350,2024-01-10 01:14:23,Giao dịch thường,Success
6305,TX00006305,3,694,269,39,Counter,3200000,1600,2024-01-10 01:53:14,Nộp tiền mặt,Success
9183,TX00009183,4,656,,44,Counter,4700000,10000,2024-01-10 02:09:20,Rút tiền ATM,Success
5987,TX00005987,1,,787,48,Counter,8500000,0,2024-01-10 05:55:53,Chuyển khoản nội bộ,Success
11621,TX00011621,4,850,,40,Counter,1400000,10000,2024-01-10 10:54:57,Chuyển khoản nội bộ,Success
5363,TX00005363,3,424,808,49,Counter,900000,450,2024-01-10 12:44:57,Nộp tiền mặt,Success
7349,TX00007349,3,19,801,48,Counter,2400000,0,2024-01-10 13:27:57,Thanh toán điện/nước/internet,Success
3153,TX00003153,4,35,,42,Counter,1900000,10000,2024-01-10 13:30:16,Rút tiền ATM,Success
214,TX00000214,1,,668,14,Counter,12400000,0,2024-01-10 16:36:35,Nộp tiền mặt,Success
3201,TX00003201,2,482,,,InternetBanking,5300000,5300,2024-01-10 18:55:35,Giao dịch thường,Success
7828,TX00007828,4,455,,25,Counter,3300000,3000,2024-01-10 21:14:48,Chuyển khoản nội bộ,Success
5716,TX00005716,3,31,330,24,Counter,9000000,0,2024-01-10 22:28:08,Thanh toán điện/nước/internet,Success
1417,TX00001417,3,524,210,33,Counter,5800000,2900,2024-01-11 01:52:29,Nộp tiền mặt,Success
4661,TX00004661,3,269,654,,InternetBanking,2400000,1200,2024-01-11 02:56:54,Thanh toán điện/nước/internet,Success
8382,TX00008382,3,494,362,24,Counter,8700000,0,2024-01-11 05:15:32,Thanh toán điện/nước/internet,Success
11464,TX00011464,3,163,525,41,Counter,14000000,0,2024-01-11 06:35:04,Thanh toán điện/nước/internet,Success
8827,TX00008827,2,119,,35,Counter,6600000,0,2024-01-11 09:21:25,Nộp tiền mặt,Success
453,TX00000453,4,311,,,InternetBanking,4600000,5000,2024-01-11 10:34:31,Nộp tiền mặt,Success
11823,TX00011823,3,771,470,27,Counter,11400000,5700,2024-01-11 10:50:07,Giao dịch thường,Success
8201,TX00008201,3,635,211,33,Counter,4900000,2450,2024-01-11 11:55:30,Chuyển khoản nội bộ,Success
2802,TX00002802,1,,240,30,Counter,7300000,0,2024-01-11 12:16:53,Rút tiền ATM,Success
4693,TX00004693,3,27,452,,InternetBanking,13800000,0,2024-01-11 12:22:57,Chuyển khoản nội bộ,Success
9976,TX00009976,2,411,,1,Counter,100000,0,2024-01-11 13:20:24,Giao dịch thường,Success
1213,TX00001213,4,196,,48,Counter,700000,10000,2024-01-11 13:57:37,Chuyển khoản nội bộ,Success
2525,TX00002525,1,,404,41,Counter,100000,0,2024-01-11 15:34:10,Giao dịch thường,Success
8593,TX00008593,1,,755,44,Counter,7200000,0,2024-01-11 15:53:50,Rút tiền ATM,Success
4464,TX00004464,2,626,,26,Counter,300000,0,2024-01-11 16:06:02,Rút tiền ATM,Success
4516,TX00004516,3,617,361,32,Counter,400000,200,2024-01-11 16:17:39,Giao dịch thường,Success
9321,TX00009321,3,534,689,20,Counter,47800000,23900,2024-01-11 16:23:12,Rút tiền ATM,Success
6259,TX00006259,3,227,207,25,Counter,5200000,0,2024-01-11 17:14:22,Giao dịch thường,Success
8472,TX00008472,2,85,,,InternetBanking,18600000,18600,2024-01-11 18:03:09,Chuyển khoản nội bộ,Success
1470,TX00001470,3,433,792,19,Counter,100000,0,2024-01-11 19:42:14,Nộp tiền mặt,Success
4376,TX00004376,3,693,332,45,Counter,35400000,17700,2024-01-11 21:02:00,Rút tiền ATM,Success
9981,TX00009981,1,,477,39,Counter,4400000,0,2024-01-11 22:34:06,Thanh toán điện/nước/internet,Success
10325,TX00010325,1,,708,4,Counter,8600000,0,2024-01-11 23:29:23,Thanh toán điện/nước/internet,Success
10399,TX00010399,3,562,482,11,Counter,26500000,13250,2024-01-12 00:51:17,Thanh toán điện/nước/internet,Success
5072,TX00005072,3,74,655,,InternetBanking,200000,0,2024-01-12 05:02:43,Thanh toán điện/nước/internet,Success
1915,TX00001915,3,323,744,47,Counter,21800000,10900,2024-01-12 12:12:23,Thanh toán điện/nước/internet,Success
10080,TX00010080,3,408,509,,InternetBanking,2400000,0,2024-01-12 12:28:48,Nộp tiền mặt,Success
2864,TX00002864,2,299,,8,Counter,3400000,0,2024-01-12 12:51:52,Rút tiền ATM,Success
5081,TX00005081,4,579,,37,Counter,2300000,5000,2024-01-12 15:05:01,Rút tiền ATM,Success
6378,TX00006378,4,685,,15,Counter,2000000,5000,2024-01-12 15:36:55,Rút tiền ATM,Success
4819,TX00004819,3,401,260,47,Counter,33300000,0,2024-01-12 15:49:31,Rút tiền ATM,Success
8574,TX00008574,2,655,,36,Counter,100000,0,2024-01-12 20:16:14,Thanh toán điện/nước/internet,Success
7447,TX00007447,2,272,,13,Counter,17100000,0,2024-01-13 00:15:26,Nộp tiền mặt,Success
5631,TX00005631,3,230,258,5,Counter,2300000,1150,2024-01-13 01:56:01,Giao dịch thường,Success
6518,TX00006518,3,363,213,17,Counter,3500000,0,2024-01-13 02:19:33,Rút tiền ATM,Success
1060,TX00001060,1,,69,31,Counter,12200000,0,2024-01-13 02:51:54,Giao dịch thường,Success
7399,TX00007399,3,499,425,44,Counter,2300000,1150,2024-01-13 03:09:12,Chuyển khoản nội bộ,Success
5501,TX00005501,1,,842,,InternetBanking,9900000,0,2024-01-13 04:22:19,Thanh toán điện/nước/internet,Success
7409,TX00007409,2,837,,,InternetBanking,12000000,12000,2024-01-13 04:49:42,Nộp tiền mặt,Success
6774,TX00006774,3,302,167,,ATM,14700000,7350,2024-01-13 05:34:21,Rút tiền ATM,Success
8030,TX00008030,1,,346,25,Counter,4800000,0,2024-01-13 07:10:36,Nộp tiền mặt,Success
5837,TX00005837,3,50,164,28,Counter,6400000,3200,2024-01-13 07:23:58,Rút tiền ATM,Success
9232,TX00009232,1,,147,9,Counter,5700000,0,2024-01-13 07:34:59,Thanh toán điện/nước/internet,Success
5893,TX00005893,3,699,671,22,Counter,100000,50,2024-01-13 12:56:22,Giao dịch thường,Pending
10420,TX00010420,1,,187,13,Counter,5100000,0,2024-01-13 16:59:40,Rút tiền ATM,Success
5651,TX00005651,1,,42,,InternetBanking,10000000,0,2024-01-13 23:55:08,Chuyển khoản nội bộ,Success
11720,TX00011720,3,207,316,,ATM,7600000,3800,2024-01-14 00:17:25,Rút tiền ATM,Success
7812,TX00007812,1,,457,9,Counter,3300000,0,2024-01-14 08:44:46,Thanh toán điện/nước/internet,Success
11341,TX00011341,3,651,16,20,Counter,25700000,0,2024-01-14 09:23:00,Nộp tiền mặt,Success
5976,TX00005976,2,794,,,InternetBanking,1400000,0,2024-01-14 09:41:28,Giao dịch thường,Success
2286,TX00002286,3,404,100,43,Counter,100000,50,2024-01-14 11:49:16,Rút tiền ATM,Success
7991,TX00007991,1,,111,42,Counter,14400000,0,2024-01-14 12:43:50,Nộp tiền mặt,Success
7248,TX00007248,3,302,287,32,Counter,28500000,14250,2024-01-14 18:55:47,Giao dịch thường,Success
11223,TX00011223,1,,509,9,Counter,5600000,0,2024-01-14 20:36:53,Chuyển khoản nội bộ,Success
601,TX00000601,2,108,,45,Counter,2800000,0,2024-01-14 23:07:25,Chuyển khoản nội bộ,Success
11064,TX00011064,2,607,,,InternetBanking,3200000,0,2024-01-14 23:20:41,Chuyển khoản nội bộ,Success
11313,TX00011313,2,638,,17,Counter,300000,0,2024-01-15 00:43:12,Nộp tiền mặt,Success
3450,TX00003450,3,305,325,23,Counter,100000,50,2024-01-15 01:00:19,Nộp tiền mặt,Failed
910,TX00000910,3,321,755,37,Counter,22500000,11250,2024-01-15 02:20:37,Rút tiền ATM,Success
5711,TX00005711,4,464,,25,Counter,1400000,3000,2024-01-15 02:41:38,Rút tiền ATM,Success
10867,TX00010867,4,505,,,InternetBanking,3700000,10000,2024-01-15 04:25:56,Thanh toán điện/nước/internet,Failed
10614,TX00010614,4,673,,7,Counter,100000,5000,2024-01-15 04:58:42,Nộp tiền mặt,Success
6634,TX00006634,3,583,760,49,Counter,16100000,0,2024-01-15 05:21:44,Nộp tiền mặt,Success
8117,TX00008117,2,609,,21,Counter,100000,0,2024-01-15 06:52:31,Thanh toán điện/nước/internet,Success
10857,TX00010857,3,181,697,,InternetBanking,7400000,0,2024-01-15 08:54:10,Nộp tiền mặt,Success
4799,TX00004799,4,196,,38,Counter,5300000,3000,2024-01-15 10:34:18,Rút tiền ATM,Success
8492,TX00008492,3,704,671,21,Counter,5000000,0,2024-01-15 10:34:32,Nộp tiền mặt,Success
5687,TX00005687,3,348,237,43,Counter,200000,100,2024-01-15 11:33:02,Thanh toán điện/nước/internet,Success
6817,TX00006817,1,,719,19,Counter,9800000,0,2024-01-15 13:56:40,Chuyển khoản nội bộ,Success
8506,TX00008506,1,,822,,InternetBanking,100000,0,2024-01-15 14:02:06,Chuyển khoản nội bộ,Success
8142,TX00008142,4,174,,29,Counter,6000000,5000,2024-01-15 14:58:46,Chuyển khoản nội bộ,Success
11510,TX00011510,3,262,166,,ATM,600000,0,2024-01-15 15:31:20,Rút tiền ATM,Success
4046,TX00004046,4,365,,6,Counter,1300000,3000,2024-01-15 16:42:56,Giao dịch thường,Success
9735,TX00009735,3,516,710,40,Counter,300000,150,2024-01-15 21:18:23,Nộp tiền mặt,Success
8743,TX00008743,3,45,541,,InternetBanking,2000000,1000,2024-01-15 21:25:36,Chuyển khoản nội bộ,Success
1552,TX00001552,1,,546,25,Counter,9700000,0,2024-01-15 22:10:47,Giao dịch thường,Success
3055,TX00003055,3,596,227,,ATM,2900000,1450,2024-01-16 01:54:45,Rút tiền ATM,Success
3314,TX00003314,4,679,,48,Counter,3500000,0,2024-01-16 03:40:31,Nộp tiền mặt,Success
2352,TX00002352,3,763,263,24,Counter,38500000,0,2024-01-16 04:42:33,Nộp tiền mặt,Success
3539,TX00003539,3,122,717,48,Counter,30100000,15050,2024-01-16 08:43:17,Chuyển khoản nội bộ,Success
9713,TX00009713,3,271,515,,ATM,100000,50,2024-01-16 09:20:05,Rút tiền ATM,Success
5619,TX00005619,3,763,293,14,Counter,400000,200,2024-01-16 09:44:01,Giao dịch thường,Success
3833,TX00003833,2,457,,17,Counter,100000,0,2024-01-16 11:31:41,Rút tiền ATM,Success
670,TX00000670,2,118,,,InternetBanking,1600000,0,2024-01-16 12:08:10,Thanh toán điện/nước/internet,Success
8782,TX00008782,1,,399,23,Counter,12400000,0,2024-01-16 13:14:36,Giao dịch thường,Success
3403,TX00003403,1,,433,34,Counter,2600000,0,2024-01-16 13:31:29,Chuyển khoản nội bộ,Success
9565,TX00009565,3,405,238,19,Counter,3800000,0,2024-01-16 18:03:22,Thanh toán điện/nước/internet,Success
3975,TX00003975,3,656,731,,InternetBanking,5300000,2650,2024-01-16 23:06:18,Thanh toán điện/nước/internet,Success
8675,TX00008675,1,,596,36,Counter,11900000,0,2024-01-17 01:49:29,Chuyển khoản nội bộ,Success
4829,TX00004829,4,721,,,InternetBanking,4400000,3000,2024-01-17 04:07:34,Giao dịch thường,Success
9191,TX00009191,4,179,,9,Counter,800000,0,2024-01-17 06:28:48,Thanh toán điện/nước/internet,Success
10089,TX00010089,3,835,713,34,Counter,11300000,5650,2024-01-17 06:46:45,Thanh toán điện/nước/internet,Success
917,TX00000917,2,507,,23,Counter,3600000,0,2024-01-17 08:12:51,Rút tiền ATM,Success
6596,TX00006596,1,,81,28,Counter,4700000,0,2024-01-17 08:26:36,Nộp tiền mặt,Success
941,TX00000941,2,115,,19,Counter,100000,0,2024-01-17 08:51:49,Rút tiền ATM,Success
10004,TX00010004,3,710,382,,InternetBanking,3700000,1850,2024-01-17 09:09:55,Thanh toán điện/nước/internet,Success
11744,TX00011744,3,779,376,26,Counter,400000,200,2024-01-17 12:38:50,Giao dịch thường,Success
10356,TX00010356,3,474,118,44,Counter,31400000,15700,2024-01-17 13:16:27,Nộp tiền mặt,Success
9806,TX00009806,3,195,505,35,Counter,3500000,0,2024-01-17 16:23:19,Chuyển khoản nội bộ,Success
9622,TX00009622,1,,307,42,Counter,9100000,0,2024-01-17 16:46:18,Thanh toán điện/nước/internet,Failed
5912,TX00005912,3,51,545,,InternetBanking,900000,450,2024-01-17 18:44:09,Thanh toán điện/nước/internet,Success
4218,TX00004218,3,281,122,32,Counter,100000,50,2024-01-18 04:10:18,Rút tiền ATM,Failed
5975,TX00005975,3,51,549,,InternetBanking,100000,0,2024-01-18 05:06:19,Chuyển khoản nội bộ,Success
11917,TX00011917,1,,465,14,Counter,6400000,0,2024-01-18 07:01:21,Nộp tiền mặt,Success
5737,TX00005737,2,547,,22,Counter,7300000,0,2024-01-18 08:05:53,Chuyển khoản nội bộ,Success
1910,TX00001910,4,73,,15,Counter,3600000,10000,2024-01-18 08:30:02,Thanh toán điện/nước/internet,Success
2877,TX00002877,3,178,337,,InternetBanking,600000,300,2024-01-18 10:47:59,Chuyển khoản nội bộ,Success
10953,TX00010953,3,240,308,40,Counter,7500000,0,2024-01-18 12:17:19,Giao dịch thường,Success
1287,TX00001287,3,15,405,6,Counter,20500000,0,2024-01-18 12:17:57,Thanh toán điện/nước/internet,Success
4732,TX00004732,2,401,,46,Counter,19400000,0,2024-01-18 12:34:06,Rút tiền ATM,Success
1031,TX00001031,3,167,267,31,Counter,5500000,2750,2024-01-18 14:28:04,Thanh toán điện/nước/internet,Success
3028,TX00003028,3,726,17,41,Counter,400000,200,2024-01-18 16:13:45,Thanh toán điện/nước/internet,Success
5598,TX00005598,3,414,21,,ATM,2600000,1300,2024-01-18 18:09:15,Rút tiền ATM,Pending
22,TX00000022,1,,683,23,Counter,8000000,0,2024-01-18 19:33:46,Thanh toán điện/nước/internet,Success
10735,TX00010735,2,403,,36,Counter,100000,0,2024-01-18 20:43:02,Chuyển khoản nội bộ,Success
9599,TX00009599,1,,279,,InternetBanking,7400000,0,2024-01-18 21:06:06,Nộp tiền mặt,Success
2689,TX00002689,3,259,328,9,Counter,16400000,0,2024-01-18 21:06:31,Thanh toán điện/nước/internet,Success
3967,TX00003967,3,801,401,21,Counter,14800000,7400,2024-01-18 21:10:22,Giao dịch thường,Success
10383,TX00010383,4,423,,10,Counter,3000000,3000,2024-01-19 09:52:58,Giao dịch thường,Success
3934,TX00003934,3,676,38,1,Counter,1700000,850,2024-01-19 11:07:12,Chuyển khoản nội bộ,Success
855,TX00000855,2,352,,41,Counter,6600000,6600,2024-01-19 12:22:12,Chuyển khoản nội bộ,Success
6857,TX00006857,3,349,466,19,Counter,100000,50,2024-01-19 13:52:44,Rút tiền ATM,Success
10745,TX00010745,3,14,673,29,Counter,20500000,10250,2024-01-19 15:20:36,Chuyển khoản nội bộ,Success
488,TX00000488,4,501,,35,Counter,3100000,0,2024-01-19 16:18:39,Chuyển khoản nội bộ,Success
7585,TX00007585,1,,700,4,Counter,12600000,0,2024-01-19 17:08:27,Thanh toán điện/nước/internet,Success
10095,TX00010095,2,5,,31,Counter,15800000,15800,2024-01-19 17:50:53,Thanh toán điện/nước/internet,Success
11525,TX00011525,1,,341,6,Counter,10400000,0,2024-01-19 20:08:56,Chuyển khoản nội bộ,Success
7147,TX00007147,3,444,36,15,Counter,100000,50,2024-01-19 20:18:48,Rút tiền ATM,Success
